Created,User Name,Page Name,state,state_code,gov_party,state_pop_2010,total_daily_posts,daily_positive_eng,daily_negative_eng,daily_total_interactions,daily_comments,daily_shares,total_confirmed,total_deaths
2020-10-22,ctpublichealth,Connecticut Department of Public Health,Connecticut,CT,democratic,3572665,2,969,3,1193,85,136,502,2
2020-10-22,dchealth.dc.gov,DC Health,District of Columbia,DC,democratic,702455,6,7,0,8,0,1,39,0
2020-10-22,depublichealth,Delaware Division of Public Health - DPH,Delaware,DE,democratic,967171,3,20,4,33,5,4,153,0
2020-10-22,dhswi,Wisconsin Department of Health Services,Wisconsin,WI,democratic,5813568,6,852,416,2776,1162,346,3632,41
2020-10-22,fldepartmentofhealth,Florida Department of Health (DOH),Florida,FL,republican,21299325,2,23,1,44,0,20,5558,57
2020-10-22,hawaiidoh,Hawaii State Department of Health,Hawaii,HI,democratic,1420491,2,15,0,18,0,3,102,3
2020-10-22,healthri,Rhode Island Department of Health,Rhode Island,RI,democratic,1057315,13,100,1,166,24,41,471,4
2020-10-22,healthvermont,Vermont Department of Health,Vermont,VT,republican,626299,3,131,5,241,27,78,16,0
2020-10-22,healthylivingmo,Missouri Department of Health and Senior Services,Missouri,MO,republican,6126452,3,155,1,188,11,21,1951,16
2020-10-22,healthyms,Mississippi State Department of Health,Mississippi,MS,republican,2986530,2,169,142,807,199,297,958,8
2020-10-22,idahohealthandwelfare,Idaho Department of Health and Welfare,Idaho,ID,republican,1754208,4,34,23,100,21,22,950,7
2020-10-22,idph.illinois,Illinois Department of Public Health (IDPH),Illinois,IL,democratic,12741080,2,217,140,834,272,205,4941,42
2020-10-22,iowadepartmentofpublichealth,Iowa Department of Public Health,Iowa,IA,republican,3156145,4,101,4,157,17,35,1483,7
2020-10-22,kypublichealth,Kentucky Department for Public Health,Kentucky,KY,democratic,4468402,1,3,0,5,0,2,1303,17
2020-10-22,ladepthealth,Louisiana Department of Health,Louisiana,LA,democratic,4659978,4,114,4,216,37,61,772,15
2020-10-22,mdhealthdept,Maryland Department of Health,Maryland,MD,republican,6042718,3,146,1,240,7,86,743,12
2020-10-22,michiganhhs,Michigan Department of Health and Human Services,Michigan,MI,democratic,9995915,1,11,0,21,2,8,2204,46
2020-10-22,mnhealth,Minnesota Department of Health,Minnesota,MN,democratic,5611179,9,1296,41,2407,839,231,1561,20
2020-10-22,ncdhhs,NC Department of Health and Human Services,North Carolina,NC,democratic,10383620,6,346,61,815,328,80,2400,50
2020-10-22,ndhealth,North Dakota Department of Health,North Dakota,ND,republican,760077,3,566,265,2635,861,943,887,9
2020-10-22,nedhhs,Nebraska Department of Health and Human Services,Nebraska,NE,republican,1929268,4,34,1,54,5,14,977,11
2020-10-22,nhdepartmentofhealthandhumanservices,NH Department of Health and Human Services,New Hampshire,NH,republican,1356458,1,8,2,28,13,5,77,1
2020-10-22,njdeptofhealth,New Jersey Department of Health,New Jersey,NJ,democratic,8908520,3,66,29,200,62,43,1434,18
2020-10-22,nmdoh,New Mexico Department of Health,New Mexico,NM,democratic,2095428,5,70,15,131,5,41,662,3
2020-10-22,nvhealthandhumanservices,Nevada Department of Health and Human Services,Nevada,NV,democratic,3034392,3,12,0,13,0,1,789,4
2020-10-22,nysdoh,NYSDOH - New York State Health Department,New York,NY,democratic,19542209,3,82,24,170,50,14,1892,25
2020-10-22,ohdeptofhealth,Ohio Department of Health,Ohio,OH,republican,11689442,2,328,13,956,253,362,2425,12
2020-10-22,oklahomahealth,Oklahoma State Department of Health,Oklahoma,OK,republican,3943079,2,16,0,46,1,29,1628,11
2020-10-22,oregonhealthauthority,Oregon Health Authority,Oregon,OR,democratic,4190713,4,167,89,610,240,114,0,0
2020-10-22,pennsylvaniadepartmentofhealth,Pennsylvania Department of Health,Pennsylvania,PA,democratic,12807060,9,1128,122,2611,1179,182,2068,28
2020-10-22,scdhec,SC DHEC,South Carolina,SC,republican,5084127,5,173,51,495,136,135,1128,47
2020-10-22,sdhealthdepartment,South Dakota Department of Health,South Dakota,SD,republican,882235,3,86,61,445,107,191,973,14
2020-10-22,statehealthin,Indiana Department of Health,Indiana,IN,republican,6691878,3,208,102,902,324,268,2850,42
2020-10-22,texasdshs,Texas Department of State Health Services,Texas,TX,republican,28701845,3,229,18,608,257,104,2826,17
2020-10-22,tndeptofhealth,Tennessee Department of Health,Tennessee,TN,republican,6770010,9,401,86,1097,176,434,2046,41
2020-10-22,utahdepofhealth,Utah Department of Health,Utah,UT,republican,3161105,1,42,1,80,25,12,1543,6
2020-10-22,vdhgov,Virginia Department of Health,Virginia,VA,democratic,8517685,1,43,0,72,15,14,1332,9
2020-10-22,wadepthealth,Washington State Department of Health,Washington,WA,democratic,7535591,5,243,200,872,331,98,812,11
2020-10-22,wdhphep,Wyoming Department of Health - PHEP,Wyoming,WY,republican,577737,1,5,0,15,0,10,271,7
2020-10-22,wv.dhhr,WV Department of Health & Human Resources,West Virginia,WV,republican,1805832,19,50,27,181,31,73,322,6
2020-10-23,alabamapublichealth,Alabama Public Health,Alabama,AL,republican,4887871,4,147,44,613,70,352,2130,16
2020-10-23,alaska.dhss,Alaska Health and Social Services,Alaska,AK,republican,737438,4,211,5,359,67,76,252,0
2020-10-23,arhealthdept,Arkansas Department of Health,Arkansas,AR,republican,3013825,2,76,52,355,121,106,1337,10
2020-10-23,azdhs,Arizona Department of Health Services,Arizona,AZ,republican,7171646,1,31,2,78,40,5,976,6
2020-10-23,capublichealth,California Department of Public Health,California,CA,democratic,39557045,2,150,33,358,100,75,5537,49
2020-10-23,cdphe,Colorado Department of Public Health and Environment,Colorado,CO,democratic,5695564,3,416,49,1268,450,353,1350,13
